volatile acidity,citric acid,total sulfur dioxide,sulphates,alcohol
0.39,0.4,26.0,0.75,10.2
0.5,0.11,49.0,0.79,9.5
0.24,0.47,24.0,0.9,11.0
0.61,0.0,8.0,0.37,10.4
0.26,0.37,23.0,0.7,9.6
0.74,0.0,46.0,0.59,12.5
0.65,0.1,40.0,0.55,9.5
0.84,0.0,33.0,0.55,9.7
0.39,0.43,11.0,0.46,11.4
0.61,0.01,38.0,0.65,9.8
0.39,0.12,27.0,0.49,9.4
0.28,0.4,10.0,0.7,12.8
1.025,0.43,84.0,0.57,10.1
0.46,0.39,15.0,0.62,9.5
0.45,0.49,75.0,0.57,9.7
0.3,0.38,72.0,0.72,11.8
0.61,0.3,50.0,0.61,10.2
0.39,0.33,53.0,0.62,12.2
0.645,0.03,57.0,0.46,10.3
0.6,0.29,15.0,0.49,9.1
0.4,0.47,20.0,0.5,10.5
0.35,0.6,44.0,0.79,11.1
0.67,0.1,48.0,0.54,9.5
0.5,0.36,55.0,0.68,10.9
0.59,0.42,73.0,0.7,9.5
0.76,0.02,12.0,0.63,9.95
1.24,0.34,151.0,0.53,9.5
0.51,0.28,54.0,0.74,9.2
0.31,0.51,28.0,0.93,9.8
0.74,0.03,16.0,0.63,11.5
0.49,0.03,87.0,0.82,14.0
0.88,0.25,155.0,0.67,11.2
0.26,0.47,24.0,1.04,10.9
0.52,0.34,122.0,0.61,9.5
0.27,0.53,18.0,1.13,12.0
0.29,0.42,27.0,0.73,11.9
0.24,0.34,22.0,0.94,10.9
0.72,0.01,32.0,0.54,9.6
0.47,0.11,89.0,0.88,13.5666666666667
0.36,0.34,12.0,0.67,10.5
0.615,0.66,42.0,0.73,10.0
0.21,0.4,165.0,0.59,11.9
0.42,0.0,88.0,0.73,13.6
0.685,0.1,12.0,0.65,9.55
0.615,0.0,59.0,0.52,9.9
0.55,0.21,28.0,0.55,9.7
0.42,0.53,98.0,0.95,9.2
0.56,0.18,21.0,0.49,9.9
0.24,0.33,73.0,0.9,10.2
0.33,0.45,37.0,0.89,11.1
0.43,0.42,128.0,0.71,10.5
0.59,0.45,22.0,0.7,9.3
0.38,0.3,70.0,0.59,9.5
0.52,0.13,61.0,0.59,10.8
0.53,0.13,22.0,0.68,9.9
0.65,0.37,65.0,0.64,10.4
0.68,0.0,22.0,0.5,9.3
0.62,0.06,12.0,0.48,9.8
0.63,0.33,28.0,0.64,10.1
0.32,0.44,37.0,0.78,10.0
0.34,0.42,18.0,0.55,11.4
0.39,0.69,35.0,0.61,10.8
0.45,0.31,50.0,0.91,9.9
0.65,0.01,38.0,0.74,11.7
0.26,0.26,77.0,0.79,10.9
0.56,0.08,46.0,0.66,9.6
0.72,0.09,49.0,0.72,11.1
0.47,0.11,89.0,0.88,13.6
0.39,0.46,27.0,0.84,11.4
0.67,0.0,39.0,0.74,9.7
0.69,0.0,58.0,0.72,10.2
0.53,0.49,25.0,0.61,9.4
0.42,0.0,42.0,0.74,14.0
0.28,0.56,60.0,0.58,9.8
0.53,0.12,12.0,0.86,9.2
0.4,0.48,49.0,0.81,9.7
0.42,0.66,29.0,0.75,11.7
0.66,0.0,40.0,0.56,9.4
0.96,0.0,16.0,0.44,11.9
0.58,0.58,18.0,0.63,10.0
0.43,0.31,74.0,0.54,9.9
0.52,0.15,65.0,0.56,13.1
0.39,0.49,149.0,0.5,11.5
0.18,0.51,23.0,0.97,10.1
0.43,0.42,129.0,0.72,10.5
0.55,0.17,53.0,0.61,9.4
0.685,0.26,23.0,0.47,9.4
0.835,0.03,19.0,0.47,9.6
0.46,0.0,44.0,0.53,11.2
0.58,0.2,50.0,0.67,12.5
0.41,0.14,43.0,0.57,10.5
0.16,0.64,52.0,0.71,11.2
0.63,0.21,32.0,0.66,9.8
0.6,0.08,45.0,0.54,11.0
0.48,0.64,20.0,0.66,11.7
0.67,0.22,34.0,0.98,9.9
0.44,0.68,24.0,0.66,13.4
0.75,0.01,32.0,0.61,12.8
0.2,0.35,15.0,0.8,11.9
0.36,0.39,55.0,0.73,10.9
0.6,0.08,44.0,0.58,10.5
0.29,0.4,26.0,0.91,9.7
0.46,0.52,35.0,0.56,9.0
0.67,0.05,20.0,0.63,10.1
0.59,0.05,32.0,0.61,10.0
0.64,0.03,31.0,0.58,10.4
0.51,0.14,34.0,0.57,11.5
0.12,0.45,21.0,0.76,11.9
0.775,0.42,86.0,0.59,9.5
0.39,0.4,50.0,0.83,10.9
0.56,0.03,46.0,0.57,10.6
0.78,0.0,45.0,0.62,10.7
0.28,0.44,68.0,0.66,11.2
0.675,0.26,43.0,0.53,9.2
0.39,0.63,18.0,0.49,9.5
0.54,0.26,31.0,0.6,9.3
0.42,0.25,90.0,0.57,9.1
0.63,0.0,38.0,0.58,9.0
0.75,0.01,18.0,0.4,12.8
0.5,0.45,68.0,0.72,10.9
0.51,0.24,38.0,0.66,9.6
0.4,0.3,45.0,0.91,9.5
0.43,0.36,48.0,0.46,9.4
0.5,0.25,22.0,0.63,9.2
0.44,0.0,11.0,0.85,11.7
0.42,0.27,55.0,0.64,12.3
0.32,0.56,8.0,0.73,11.4
0.38,0.5,13.0,0.65,11.6
0.4,0.16,25.0,0.74,10.1
0.78,0.23,15.0,0.56,11.3
0.23,0.42,17.0,0.54,12.3
0.68,0.21,23.0,0.6,10.3
0.81,0.05,14.0,0.66,10.8
0.65,0.6,90.0,0.52,9.2
0.46,0.14,37.0,0.65,9.8
0.765,0.22,42.0,0.55,9.4
0.8,0.11,31.0,0.48,9.9
0.76,0.04,54.0,0.65,9.8
0.6,0.06,59.0,0.46,9.4
0.49,0.67,15.0,0.93,12.0
0.46,0.11,49.0,0.57,10.0
0.43,0.29,45.0,0.54,10.3
0.38,0.14,25.0,0.65,11.1
0.38,0.56,24.0,0.71,10.9
0.76,0.29,16.0,0.68,11.5
0.685,0.0,37.0,0.57,10.6
0.57,0.14,73.0,0.48,9.2
0.4,0.29,66.0,0.59,9.5
0.305,0.39,11.0,0.52,11.5
0.47,0.31,125.0,0.61,9.4
0.59,0.0,14.0,0.55,11.5
0.4,0.5,80.0,0.66,13.6
0.26,0.45,49.0,0.54,9.6
0.4,0.37,29.0,0.65,11.2
0.59,0.07,71.0,0.71,9.8
0.645,0.0,16.0,0.59,9.8
0.28,0.48,46.0,1.04,10.6
0.51,0.25,45.0,0.96,12.1
0.51,0.15,73.0,0.63,10.2
0.55,0.04,56.0,0.6,10.9
0.63,0.07,37.0,0.76,9.7
0.52,0.16,35.0,0.62,9.5
0.63,0.03,43.0,0.64,10.9
0.63,0.0,38.0,0.58,9.0
0.745,0.11,63.0,0.82,9.6
0.3,0.38,72.0,0.72,11.8
0.31,0.53,10.0,0.83,10.9
0.625,0.2,119.0,1.12,9.1
0.69,0.32,104.0,0.51,9.5
0.895,0.04,13.0,0.58,10.8
0.5,0.04,14.0,0.64,9.4
0.51,0.02,31.0,0.54,10.5
0.24,0.49,28.0,0.61,10.4
0.61,0.01,25.0,0.73,10.5
0.62,0.08,38.0,0.82,9.5
0.33,0.38,19.0,0.73,12.0
0.735,0.02,14.0,0.71,11.7
0.49,0.49,15.0,0.43,9.2
0.63,0.27,91.0,0.58,9.8
0.5,0.59,42.0,0.68,10.5
0.42,0.49,43.0,0.61,9.5
0.6,0.04,88.0,0.55,9.5
0.82,0.29,64.0,0.53,9.4
0.5,0.0,28.0,0.55,12.3
0.71,0.0,31.0,0.58,10.0
0.705,0.07,15.0,0.58,10.7
0.79,0.04,17.0,0.65,10.4
0.575,0.22,65.0,0.51,9.2
0.42,0.08,48.0,0.59,10.0
0.655,0.26,35.0,0.42,9.6
0.49,0.19,44.0,0.54,9.7
0.47,0.3,135.0,0.53,9.4
0.65,0.1,40.0,0.55,9.5
0.37,0.76,38.0,0.6,13.0
0.6,0.49,19.0,0.57,11.4
0.21,0.37,10.0,0.58,11.1
0.59,0.26,104.0,0.52,9.9
0.3,0.74,28.0,0.77,10.8
0.49,0.27,25.0,0.63,12.0
0.62,0.04,90.0,0.7,9.4
0.31,0.37,96.0,0.58,9.2
0.36,0.21,69.0,0.53,10.1
0.52,0.25,37.0,0.5,11.0
0.715,0.0,35.0,0.65,11.4
0.39,0.31,46.0,0.54,9.4
0.72,0.17,38.0,0.53,9.5
0.835,0.0,11.0,0.52,10.0
0.47,0.27,38.0,0.85,11.1
0.36,0.32,79.0,0.72,11.0
0.41,0.54,41.0,0.76,11.3
0.57,0.31,120.0,0.53,9.3
0.43,0.42,128.0,0.71,10.5
0.91,0.1,56.0,0.56,9.2
0.52,0.26,140.0,0.54,9.5
0.74,0.0,12.0,0.59,11.0
0.69,0.08,89.0,0.54,9.2
0.45,0.49,75.0,0.57,9.7
0.57,0.28,49.0,0.6,12.8
0.365,0.49,106.0,0.78,11.0
0.5,0.33,143.0,0.55,9.5
0.54,0.04,27.0,0.91,9.4
0.39,0.47,14.0,0.75,9.8
0.32,0.55,67.0,0.92,10.8
0.28,0.4,10.0,0.7,12.8
0.765,0.02,63.0,0.78,9.9
0.62,0.09,108.0,0.66,9.8
0.67,0.0,20.0,0.56,11.8
0.5,0.34,14.0,0.52,10.7
0.83,0.09,25.0,0.45,9.6
0.35,0.4,24.0,0.7,12.0
0.54,0.28,40.0,0.61,10.0
0.68,0.24,28.0,0.6,10.2
0.5,0.47,73.0,0.57,9.1
0.53,0.09,31.0,0.67,11.0
0.39,0.12,27.0,0.49,9.4
0.67,0.02,92.0,0.68,11.1
0.43,0.32,58.0,0.64,10.3
0.54,0.02,31.0,0.51,10.4
0.37,0.32,15.0,0.8,11.2
0.89,0.3,60.0,1.18,10.2
0.52,0.33,30.0,0.6,9.3
0.52,0.03,35.0,0.57,10.0
0.46,0.24,34.0,0.6,10.6
0.63,0.06,29.0,0.73,9.6
0.42,0.48,18.0,0.87,11.3
0.5,0.09,99.0,0.63,13.0
0.6,0.3,110.0,1.17,10.2
0.875,0.13,14.0,0.52,11.5
0.18,0.51,23.0,0.97,10.1
0.34,0.27,44.0,0.56,12.0
0.42,0.35,38.0,0.66,11.1
0.75,0.12,80.0,0.52,10.1
0.33,0.53,80.0,0.8,9.6
0.38,0.48,11.0,0.57,13.2
1.13,0.09,19.0,0.48,9.8
0.61,0.0,59.0,0.7,11.5
0.775,0.27,56.0,0.67,10.6
0.645,0.36,14.0,0.42,10.0
0.47,0.44,51.0,0.86,9.9
1.0,0.0,16.0,0.46,10.0
0.31,0.4,10.0,0.68,11.2
0.4,0.31,24.0,0.69,10.6
0.38,0.41,10.0,0.58,11.9
0.78,0.1,13.0,0.49,9.5
0.49,0.26,31.0,0.64,9.6
0.775,0.0,23.0,0.56,10.7
0.32,0.52,44.0,0.77,11.5
1.02,0.04,85.0,0.48,10.5
0.52,0.25,38.0,0.65,9.0
0.45,0.49,6.0,0.63,10.4
0.56,0.2,39.0,0.62,9.3
0.605,0.05,25.0,0.55,12.9
0.4,0.41,40.0,0.6,12.2
0.24,0.49,20.0,1.06,11.0
0.44,0.42,48.0,0.86,9.9
1.02,0.43,88.0,0.57,10.1
0.51,0.15,27.0,0.59,12.8
0.26,0.48,10.0,0.87,10.9
0.44,0.2,64.0,0.57,11.7
0.57,0.01,27.0,0.84,12.5
0.64,0.07,23.0,0.58,9.6
0.69,0.0,12.0,0.53,12.9
0.48,0.53,10.0,0.59,12.1
0.55,0.04,56.0,0.6,10.9
0.28,0.46,13.0,0.79,10.2
0.43,0.3,39.0,0.46,11.9
0.34,0.38,57.0,0.47,9.0
0.48,0.53,10.0,0.59,12.1
0.66,0.0,11.0,0.63,12.8
0.705,0.05,19.0,0.95,10.5
0.36,0.29,72.0,0.68,11.0
0.42,0.47,34.0,0.77,12.1
0.42,0.45,59.0,0.77,12.0
0.26,0.52,10.0,0.72,10.2
0.66,0.0,23.0,0.96,9.9
0.64,0.1,101.0,0.52,10.2
0.56,0.09,32.0,0.6,11.3
0.45,0.35,78.0,0.62,9.5
0.68,0.09,29.0,0.52,11.1
0.5,0.01,26.0,0.58,9.8
0.42,0.39,12.0,0.69,11.7
0.32,0.45,13.0,0.82,12.6
0.39,0.3,84.0,0.61,9.0
0.66,0.33,102.0,0.78,12.8
0.5,0.36,102.0,0.8,10.5
0.41,0.5,25.0,0.79,13.3
0.12,0.45,21.0,0.76,11.9
0.6,0.32,98.0,0.62,9.5
0.59,0.07,71.0,0.71,9.8
0.64,0.1,11.0,0.69,10.1
0.84,0.63,35.0,0.6,10.4
0.36,0.34,38.0,0.88,13.6
0.715,0.22,81.0,0.54,9.5
0.48,0.41,52.0,0.53,10.5
0.54,0.3,105.0,1.18,10.5
0.635,0.1,33.0,0.69,10.8
0.49,0.63,26.0,0.78,12.5
0.35,0.41,61.0,0.5,9.5
0.48,0.32,54.0,0.65,10.0
0.63,0.48,96.0,0.62,9.5
0.31,0.49,21.0,0.86,10.7
0.36,0.31,65.0,0.62,9.5
0.55,0.09,17.0,0.44,10.0
0.98,0.05,49.0,0.55,9.7
0.6,0.0,13.0,0.56,10.8
0.42,0.24,50.0,0.74,14.0
0.37,0.48,145.0,1.03,9.3
0.55,0.13,35.0,0.59,9.7
0.98,0.01,33.0,0.46,11.2
0.29,0.33,27.0,0.84,11.7
0.47,0.0,33.0,0.48,12.3
0.27,0.49,17.0,0.52,12.5
0.69,0.08,52.0,0.6,10.2
0.61,0.11,28.0,0.66,10.9
0.65,0.0,21.0,0.47,10.0
0.47,0.27,28.0,0.8,11.2
1.115,0.1,12.0,0.6,11.2
0.79,0.21,68.0,0.44,9.2
0.665,0.61,95.0,0.54,9.1
0.64,0.21,31.0,0.66,9.8
0.37,0.44,42.0,0.81,10.8
0.42,0.5,21.0,0.93,11.8
0.43,0.33,89.0,0.68,10.0
0.36,0.47,23.0,0.76,12.0
0.885,0.0,12.0,0.51,10.8
0.4,0.12,53.0,0.7,10.3
0.72,0.0,14.0,0.58,9.8
0.43,0.34,86.0,0.62,9.5
0.915,0.0,78.0,0.73,11.4
0.34,0.28,68.0,0.48,9.4
0.68,0.02,20.0,1.08,9.2
0.34,0.49,78.0,0.7,10.0
0.675,0.1,11.0,0.65,9.55
0.37,0.65,8.0,0.58,11.0
0.57,0.21,9.0,0.54,9.8
0.36,0.21,48.0,0.77,9.7
0.36,0.59,18.0,1.05,9.4
0.5,0.49,14.0,0.44,9.6
0.3,0.39,9.0,0.57,11.5
0.35,0.48,21.0,0.53,10.5
0.47,0.43,66.0,0.76,10.8
0.6,0.0,34.0,0.7,9.9
0.475,0.4,28.0,0.65,10.0333333333333
0.57,0.02,35.0,0.62,10.8
0.645,0.0,39.0,0.58,9.2
0.62,0.08,24.0,0.53,9.0
0.885,0.03,8.0,0.33,9.1
0.47,0.0,14.0,0.58,10.9
0.43,0.29,66.0,0.64,9.5
0.41,0.43,54.0,1.16,10.6
0.57,0.02,11.0,0.68,9.5
0.81,0.25,85.0,0.42,9.2
0.6,0.13,24.0,0.59,9.2
0.34,0.44,12.0,0.63,10.7
0.33,0.47,11.0,0.53,10.3
0.66,0.07,61.0,0.6,9.3
0.8,0.12,28.0,0.65,10.4
0.53,0.22,27.0,0.56,10.2
0.44,0.47,28.0,0.65,10.8
1.04,0.24,96.0,0.62,11.5
0.64,0.0,33.0,0.63,11.3
0.51,0.01,25.0,0.56,9.5
0.58,0.0,18.0,0.84,9.4
0.26,0.42,27.0,0.8,9.4
0.67,0.08,48.0,0.49,11.4
0.7,0.0,34.0,0.56,9.4
0.59,0.59,49.0,0.65,11.0
0.56,0.14,18.0,0.62,9.3
0.45,0.23,18.0,0.65,9.3
0.32,0.25,58.0,0.97,10.6
0.41,0.49,43.0,0.64,9.1
0.54,0.31,38.0,0.56,10.9
0.725,0.05,11.0,0.39,10.9
0.48,0.32,122.0,0.62,9.4
0.48,0.02,111.0,0.53,9.7
0.29,0.26,11.0,0.54,13.5
0.5,0.14,23.0,0.61,10.4
0.58,0.3,55.0,0.59,10.2
0.4,0.51,27.0,0.9,13.4
0.715,0.15,52.0,0.77,9.5
0.43,0.17,51.0,0.64,10.4
0.31,0.49,40.0,0.51,9.8
0.47,0.27,28.0,0.8,11.2
0.57,0.27,144.0,0.55,9.4
0.545,0.18,35.0,0.59,9.0
0.39,0.32,60.0,0.78,9.9
0.3,0.74,28.0,0.77,10.8
0.43,0.4,52.0,0.64,10.0
0.37,0.65,8.0,0.58,11.0
0.64,0.21,31.0,0.66,9.8
0.62,0.67,19.0,0.69,13.4
0.4,0.32,47.0,0.77,10.5
0.41,0.64,42.0,0.66,10.5
0.635,0.07,86.0,0.54,9.7
0.49,0.1,30.0,0.58,10.2
0.695,0.53,21.0,0.84,12.2
0.52,0.38,18.0,0.52,9.4
0.58,0.66,37.0,0.56,10.0
0.56,0.17,24.0,0.68,10.55
0.955,0.05,19.0,0.44,9.6
0.47,0.49,106.0,0.59,9.1
0.775,0.22,48.0,0.51,9.6
0.31,0.39,43.0,0.77,12.5
0.48,0.54,64.0,0.61,10.5
0.46,0.49,17.0,0.73,11.0
0.28,0.6,22.0,0.68,10.6
0.41,0.63,47.0,0.81,10.8
0.26,0.68,25.0,0.61,11.8
0.705,0.1,26.0,0.49,9.7
0.655,0.12,113.0,0.66,9.8
0.54,0.49,110.0,0.61,9.2
0.725,0.22,41.0,0.55,9.1
0.83,0.27,63.0,0.48,9.8
0.63,0.02,30.0,0.75,9.8
1.005,0.15,32.0,0.48,10.0
0.785,0.19,98.0,0.52,9.6
0.63,0.12,126.0,0.61,9.5
0.5,0.35,127.0,0.62,9.4
0.545,0.12,35.0,0.61,11.6
0.3,0.6,27.0,0.97,10.1
0.47,0.49,47.0,0.68,12.7
0.635,0.1,60.0,0.75,10.9
0.58,0.28,69.0,0.7,11.0
0.45,0.49,6.0,0.63,10.4
0.825,0.24,13.0,0.77,10.7
0.36,0.66,8.0,0.53,11.9
0.45,0.2,15.0,0.56,9.2
0.39,0.1,25.0,0.43,9.7
0.915,0.12,23.0,0.65,10.2
0.45,0.33,38.0,0.71,10.8
0.43,0.36,48.0,0.46,9.4
0.54,0.27,78.0,0.71,11.0
0.975,0.04,67.0,0.6,9.4
0.27,0.54,26.0,0.53,12.5
1.0,0.09,37.0,0.55,9.0
0.31,0.57,85.0,0.53,9.7
0.4,0.44,43.0,0.61,10.5
0.35,0.33,47.0,0.81,11.0
0.53,0.06,39.0,0.48,9.8
0.69,0.32,91.0,0.62,10.1
0.35,0.38,47.0,0.82,10.6
0.3,0.58,19.0,0.88,10.5
0.29,0.52,37.0,0.58,9.5
0.65,0.1,40.0,0.55,9.5
0.71,0.0,34.0,0.53,9.5
0.67,0.02,11.0,0.52,9.5
0.37,0.41,16.0,0.8,9.3
0.38,0.44,15.0,0.64,11.4
0.67,0.02,92.0,0.68,11.0666666666667
0.44,0.09,18.0,0.69,11.3
0.63,0.24,33.0,0.57,9.4
0.51,0.64,15.0,0.66,11.8
0.37,0.52,51.0,0.58,11.1
0.58,0.16,7.0,0.58,11.2
0.71,0.0,35.0,0.55,9.4
0.49,0.27,25.0,0.63,12.0
0.38,0.01,60.0,0.75,14.0
0.41,0.64,42.0,0.66,10.5
0.28,0.48,12.0,0.62,12.4
0.42,0.48,20.0,0.53,11.0
0.69,0.05,27.0,0.61,9.1
0.43,0.24,45.0,0.73,10.0
0.315,0.4,6.0,0.67,11.9
0.6,0.12,28.0,0.62,10.2
0.24,0.47,24.0,0.9,11.0
0.46,0.31,64.0,0.74,9.6
0.43,0.3,34.0,0.61,10.5
0.53,0.01,19.0,0.46,9.8
0.34,0.32,113.0,0.79,11.1
0.34,0.52,53.0,0.81,9.5
0.3,0.48,61.0,0.78,10.3
0.86,0.26,28.0,0.62,10.0
0.31,0.47,33.0,0.8,10.5
0.67,0.39,17.0,0.47,10.0
0.39,0.63,18.0,0.49,9.5
0.59,0.14,48.0,0.56,9.7
0.32,0.47,24.0,0.82,10.3
0.39,0.31,71.0,0.65,9.7
0.52,0.25,59.0,0.48,10.2
0.43,0.35,70.0,0.69,10.5
0.27,0.53,18.0,1.13,12.0
0.58,0.2,22.0,0.49,11.7
0.44,0.58,24.0,0.99,12.0
0.845,0.01,14.0,0.58,11.0
0.32,0.57,65.0,0.79,10.7
0.51,0.02,31.0,0.54,10.5
0.705,0.12,28.0,0.72,10.0
0.16,0.44,31.0,0.54,12.4
0.46,0.17,11.0,0.54,11.4
0.58,0.23,94.0,0.58,9.5
0.54,0.26,147.0,0.59,9.7
0.53,0.24,105.0,0.54,9.4
0.61,0.3,46.0,0.51,9.3
0.56,0.04,22.0,0.44,9.6
0.38,0.38,90.0,0.65,8.5
0.785,0.24,21.0,0.67,10.0
0.44,0.0,38.0,0.58,11.4
0.61,0.08,108.0,0.51,9.4
0.49,0.49,121.0,0.76,10.5
0.34,0.39,7.0,0.55,11.4
0.69,0.31,81.0,0.74,11.6
0.45,0.34,72.0,0.6,9.5
0.54,0.13,36.0,0.64,9.8
0.915,0.29,39.0,0.54,11.1
0.37,0.43,82.0,0.68,9.7
0.33,0.63,22.0,0.74,11.2
0.57,0.0,64.0,0.56,11.2
0.73,0.21,13.0,0.52,9.5
0.38,0.15,19.0,0.57,9.4
0.33,0.63,22.0,0.74,11.2
0.53,0.06,44.0,0.83,10.3
0.31,0.34,35.0,0.59,12.5
0.52,0.07,20.0,0.81,9.6
0.48,0.25,61.0,0.6,10.4
0.5,0.3,22.0,0.56,10.4
0.395,0.46,10.0,0.64,12.2
0.46,0.24,34.0,0.6,10.6
0.32,0.25,58.0,0.97,10.6
0.45,0.33,38.0,0.71,10.8
0.31,0.74,15.0,0.79,8.4
0.5,0.36,102.0,0.8,10.5
0.67,0.3,62.0,0.56,10.2
0.77,0.12,74.0,0.64,10.4
0.5,0.18,31.0,0.72,9.6
0.62,0.1,63.0,0.61,9.2
0.22,0.49,18.0,0.56,12.4
0.33,0.4,68.0,0.48,9.4
0.715,0.19,62.0,0.61,11.0
0.73,0.02,42.0,0.52,9.3
0.57,0.02,16.0,0.69,9.5
0.43,0.5,19.0,0.87,11.4
0.45,0.55,49.0,0.76,10.3
0.24,0.4,25.0,0.87,8.7
0.31,0.09,28.0,0.7,10.0
0.24,0.39,10.0,0.59,9.5
0.44,0.49,121.0,0.58,9.2
0.41,0.54,41.0,0.76,9.9
0.685,0.07,9.0,0.55,10.9
0.67,0.0,24.0,0.72,11.1
0.54,0.13,36.0,0.64,9.8
0.66,0.0,11.0,0.66,12.7
0.35,0.49,37.0,0.91,11.0
0.41,0.24,11.0,0.59,9.5
0.37,0.52,26.0,0.51,9.5
0.62,0.01,46.0,0.51,11.8
0.45,0.5,47.0,1.11,11.0
0.37,0.55,68.0,0.82,10.4
0.365,0.49,106.0,0.78,11.0
0.21,0.44,24.0,0.84,9.2
0.4,0.32,29.0,0.49,11.3
0.765,0.0,22.0,0.68,10.9
0.38,0.3,70.0,0.59,9.5
0.6,0.1,26.0,0.51,12.1
0.63,0.31,64.0,0.79,9.3
0.27,0.56,8.0,0.51,11.8
0.32,0.23,70.0,0.62,10.1
0.91,0.07,47.0,0.43,10.7
0.61,0.18,20.0,0.6,10.2
0.5,0.04,49.0,0.78,9.5
0.64,0.09,26.0,0.63,12.0
0.51,0.13,40.0,0.75,11.0
0.43,0.44,22.0,0.55,9.5
0.28,0.54,19.0,0.63,9.5
0.7,0.0,19.0,0.53,10.0
0.69,0.21,141.0,0.51,9.9
0.27,0.24,33.0,0.66,12.8
0.36,0.19,39.0,0.52,12.7
0.62,0.06,84.0,0.53,9.7
0.53,0.49,17.0,0.56,11.7
0.66,0.04,9.0,0.47,9.4
0.26,0.37,23.0,0.7,9.6
0.53,0.01,19.0,0.46,9.8
0.42,0.32,122.0,1.07,9.7
0.5,0.09,99.0,0.63,13.0
0.585,0.0,86.0,0.94,12.9
0.18,0.51,88.0,0.76,11.8
0.63,0.03,88.0,0.58,9.8
1.04,0.05,29.0,0.55,9.9
0.69,0.0,33.0,0.45,9.4
1.185,0.0,14.0,0.54,10.7
0.39,0.66,30.0,0.63,10.8
0.65,0.02,31.0,0.8,9.7
0.565,0.34,112.0,0.61,9.5
0.29,0.33,27.0,0.84,11.7
0.75,0.14,30.0,0.64,10.5
0.61,0.01,38.0,0.65,9.8
0.38,0.36,119.0,0.56,9.4
0.58,0.56,14.0,1.03,11.6
0.23,0.57,8.0,0.7,9.9
0.5,0.34,45.0,0.6,9.7
0.665,0.1,55.0,0.51,9.3
0.7,0.0,34.0,0.56,9.4
0.62,0.33,37.0,0.58,10.7
0.755,0.15,84.0,0.5,9.5
0.36,0.25,16.0,0.6,10.1
1.02,0.0,24.0,0.55,11.2
0.33,0.44,12.0,0.61,10.7
0.67,0.39,17.0,0.47,10.0
0.35,0.26,75.0,0.58,9.5
0.6,0.25,38.0,0.53,9.8
0.635,0.1,33.0,0.69,10.8
0.695,0.13,20.0,0.54,10.1
0.34,0.5,21.0,1.18,9.2
0.58,0.14,60.0,0.59,9.8
0.785,0.0,28.0,0.86,9.4
0.42,0.17,18.0,0.61,9.2
0.69,0.0,58.0,0.72,10.2
0.63,0.12,110.0,0.77,9.4
0.41,0.33,36.0,0.75,11.1
0.56,0.24,58.0,0.56,10.1
0.59,0.01,43.0,0.58,10.7
0.25,0.37,41.0,0.8,12.4
